,ConstIntervalFixPacketsTask without drop,RandIntervalFixPacketsTask without drop,RandIntervalOrderedRandPacketsTask without drop,RandIntervalNotOrderedPacketsTask without drop,RandIntervalNotOrderedPacketsTask with drop
10,0.0009968100000002612,0.000939939999999731,31.69146735395326,31.603598323953086,31.834160971951235
20,0.0009375219999980877,0.02745208400000291,7.962205827989591,7.314978241991288,5.5130577179915665
30,0.0009292259999989785,0.04983916399999962,3.029914575997266,3.1573097539970414,7.953009075987066
40,0.00097094400000052,0.15326110199983184,1.6659971539988039,1.4873460059989145,160.9806660596221
50,0.0009073320000010651,0.40182693199978675,0.8616576939996967,0.8917070319996533,788.3202783581035
