,ConstIntervalFixPacketsTask without drop,RandIntervalFixPacketsTask without drop,RandIntervalOrderedRandPacketsTask without drop,RandIntervalNotOrderedPacketsTask without drop,RandIntervalNotOrderedPacketsTask with drop
10,1.1079999999995365,1.081999999999475,19.517999999991158,19.3499999999824,21.57799999998688
20,1.0839999999994774,1.8279999999997554,9.79199999999643,10.175999999990745,11.029999999992233
30,1.0919999999995091,2.023999999999879,6.547999999995492,6.567999999997983,13.575999999992337
40,1.0899999999995509,2.0919999999998753,5.059999999998292,4.937999999995509,49.11399999995534
50,1.0860000000002459,3.3859999999988672,3.9839999999993125,4.1299999999973735,101.19799999990798
