,ConstIntervalFixPacketsTask without drop,RandIntervalFixPacketsTask without drop,RandIntervalOrderedRandPacketsTask without drop,RandIntervalNotOrderedPacketsTask without drop,RandIntervalNotOrderedPacketsTask with drop
10,1.012099999999219,1.007319999999233,10.032419999992332,10.029719999992336,10.91735999999159
20,1.0079399999993714,1.0397599999993765,5.073959999996853,5.072379999996864,6.264939999996038
30,1.0100199999995179,1.064119999999526,3.4371199999983633,3.4257399999983833,6.413039999996579
40,1.0105199999996592,1.201859999999583,2.6737799999991254,2.663219999999143,22.03179999998625
50,1.010239999999805,1.3921999999997001,2.158019999999581,2.1841599999996033,50.76603999997033
