,ConstIntervalFixPacketsTask without drop,RandIntervalFixPacketsTask without drop,RandIntervalOrderedRandPacketsTask without drop,RandIntervalNotOrderedPacketsTask without drop,RandIntervalNotOrderedPacketsTask with drop
10,0.10010491055097145,0.09850233152050776,0.09999938065442622,0.10007496614466282,0.09530789095687761
20,0.1991782828987104,0.2023521004801132,0.20028417423263428,0.20001671163379758,0.19025737898035863
30,0.29907652411336005,0.30835295449030065,0.3004106369666967,0.30034903371328264,0.28063522384744827
40,0.39855081496083616,0.3876638588910658,0.39947940371838897,0.3985995086242831,0.3263052517911439
50,0.4976160621024027,0.5059954643687721,0.4997841032341577,0.500206429778794,0.3246956650214344
