,ConstIntervalFixPacketsTask without drop,RandIntervalFixPacketsTask without drop,RandIntervalOrderedRandPacketsTask without drop,RandIntervalNotOrderedPacketsTask without drop,RandIntervalNotOrderedPacketsTask with drop
10,0.9319999999991524,0.9359999999991487,0.9819999999991069,1.0199999999992273,2.249999999998635
20,0.9379999999996784,0.9279999999994203,0.9759999999993909,0.9939999999993774,2.0199999999998104
30,0.933999999999451,0.9339999999991505,0.9679999999999381,0.9819999999995634,1.763999999999396
40,0.9359999999993122,0.9399999999994109,0.9639999999997027,0.9599999999993841,3.2020000000000595
50,0.9379999999994112,0.9399999999997419,0.9779999999995284,0.96399999999974,3.6179999999999497
